Pattern String,Frequency,Sequence Support,Average Pattern Frequency,Proportional Pattern Frequency
BBA,524,1,34.93333333,0.015216634
CDA,154,1,10.26666667,0.004472064
BBC,314,1,20.93333333,0.009118365
BBB,1235,1,82.33333333,0.035863631
BBE,113,1,7.533333333,0.00328145
BBD,228,1,15.2,0.006620978
CEA,139,1,9.266666667,0.004036473
AAA,2314,1,154.2666667,0.067197119
BCA,104,1,6.933333333,0.003020095
AAB,418,1,27.86666667,0.01213846
BCC,216,1,14.4,0.006272506
AAC,490,1,32.66666667,0.014229295
AAD,421,1,28.06666667,0.012225578
AAE,353,1,23.53333333,0.0102509
AAF,242,1,16.13333333,0.007027529
ABA,260,1,17.33333333,0.007550238
ABB,512,1,34.13333333,0.014868161
ACA,334,1,22.26666667,0.009699152
ACB,130,1,8.666666667,0.003775119
ACC,366,1,24.4,0.010628412
ACD,154,1,10.26666667,0.004472064
ADA,236,1,15.73333333,0.006853293
ADC,152,1,10.13333333,0.004413985
AEE,217,1,14.46666667,0.006301545
AFF,199,1,13.26666667,0.005778836
AHH,285,1,19,0.008276223
HAA,198,1,13.2,0.005749797
FAA,231,1,15.4,0.006708096
EAA,341,1,22.73333333,0.009902428
HHA,305,1,20.33333333,0.00885701
EBB,135,1,9,0.003920316
HHH,1633,1,108.8666667,0.047421303
ECC,163,1,10.86666667,0.004733419
DAA,453,1,30.2,0.013154838
EEA,195,1,13,0.005662679
CAA,445,1,29.66666667,0.012922523
DCB,85,1,5.666666667,0.002468347
DCA,163,1,10.86666667,0.004733419
CAC,214,1,14.26666667,0.006214427
CAB,122,1,8.133333333,0.003542804
DCC,203,1,13.53333333,0.005894994
CAD,167,1,11.13333333,0.004849576
CBB,302,1,20.13333333,0.008769892
CBA,114,1,7.6,0.003310489
CBC,118,1,7.866666667,0.003426647
CCA,383,1,25.53333333,0.011122082
BAA,442,1,29.46666667,0.012835405
CCC,732,1,48.8,0.021256824
CCB,209,1,13.93333333,0.00606923
BAC,144,1,9.6,0.00418167
BAD,103,1,6.866666667,0.002991056
BAE,90,1,6,0.002613544
BBBA,239,1,15.93333333,0.006943436
BBAA,211,1,14.06666667,0.006129979
BBBB,626,1,41.73333333,0.018186572
CAAA,216,1,14.4,0.006275239
HHAA,144,1,9.6,0.004183493
CAAC,68,1,4.533333333,0.001975538
HHHA,201,1,13.4,0.005839458
AHHH,187,1,12.46666667,0.00543273
DAAA,210,1,14,0.006100927
AABA,111,1,7.4,0.003224776
AAAC,240,1,16,0.006972488
AAAD,195,1,13,0.005665146
AAAA,1264,1,84.26666667,0.036721769
AABB,208,1,13.86666667,0.006042823
AADA,97,1,6.466666667,0.002818047
AACC,154,1,10.26666667,0.004474013
CCAA,166,1,11.06666667,0.004822637
EAAA,162,1,10.8,0.004706429
ABBB,261,1,17.4,0.00758258
BAAA,221,1,14.73333333,0.006420499
ACAA,133,1,8.866666667,0.00386392
AAAAC,133,1,8.866666667,0.003865605
AAAAA,744,1,49.6,0.021624135
EAAAA,89,1,5.933333333,0.002586758
HHHAA,99,1,6.6,0.002877405
CDD,367,0.933333333,24.46666667,0.010657452
CDC,93,0.933333333,6.2,0.002700662
BBH,55,0.933333333,3.666666667,0.001597166
CFA,70,0.933333333,4.666666667,0.002032756
ABC,88,0.933333333,5.866666667,0.002555465
BDD,231,0.933333333,15.4,0.006708096
ABD,85,0.933333333,5.666666667,0.002468347
ACE,118,0.933333333,7.866666667,0.003426647
ACF,76,0.933333333,5.066666667,0.002206993
ADD,514,0.933333333,34.26666667,0.01492624
AEA,273,0.933333333,18.2,0.00792775
AEB,77,0.933333333,5.133333333,0.002236032
AEC,150,0.933333333,10,0.004355907
AFA,173,0.933333333,11.53333333,0.005023812
BHH,77,0.933333333,5.133333333,0.002236032
HAB,35,0.933333333,2.333333333,0.001016378
EAE,139,0.933333333,9.266666667,0.004036473
FDD,84,0.933333333,5.6,0.002439308
ECA,97,0.933333333,6.466666667,0.00281682
DAB,122,0.933333333,8.133333333,0.003542804
DAD,215,0.933333333,14.33333333,0.006243466
ECD,78,0.933333333,5.2,0.002265071
DAC,131,0.933333333,8.733333333,0.003804158
DAE,115,0.933333333,7.666666667,0.003339528
FFA,199,0.933333333,13.26666667,0.005778836
EDD,166,0.933333333,11.06666667,0.004820537
DBB,215,0.933333333,14.33333333,0.006243466
CAE,118,0.933333333,7.866666667,0.003426647
DCE,93,0.933333333,6.2,0.002700662
