Pattern String,Frequency,Sequence Support,Average Pattern Frequency,Proportional Pattern Frequency
BBA,863,1,35.95833333,0.019365842
BBC,626,1,26.08333333,0.014047528
CDD,600,1,25,0.013464085
BBB,1886,1,78.58333333,0.042322106
AAA,1962,1,81.75,0.044027556
BCA,263,1,10.95833333,0.005901757
BCD,279,1,11.625,0.006260799
AAB,534,1,22.25,0.011983035
AAC,575,1,23.95833333,0.012903081
BCC,379,1,15.79166667,0.008504813
AAD,692,1,28.83333333,0.015528578
ABA,304,1,12.66666667,0.006821803
ABB,785,1,32.70833333,0.017615511
ACA,384,1,16,0.008617014
ACB,324,1,13.5,0.007270606
ACC,502,1,20.91666667,0.011264951
ACD,395,1,16.45833333,0.008863856
ADA,569,1,23.70833333,0.01276844
ADC,222,1,9.25,0.004981711
ADD,821,1,34.20833333,0.018423356
AEA,233,1,9.708333333,0.005228553
AFF,121,1,5.041666667,0.002715257
DAB,238,1,9.916666667,0.005340754
DAA,721,1,30.04166667,0.016179342
DAD,487,1,20.29166667,0.010928349
DAC,271,1,11.29166667,0.006081278
CAA,454,1,18.91666667,0.010187824
DCB,212,1,8.833333333,0.00475731
DCA,293,1,12.20833333,0.006574961
DCD,169,1,7.041666667,0.003792384
CAB,222,1,9.25,0.004981711
CAD,248,1,10.33333333,0.005565155
DDA,863,1,35.95833333,0.019365842
CBB,634,1,26.41666667,0.014227049
DDC,533,1,22.20833333,0.011960595
DDD,1621,1,67.54166667,0.036375468
BAA,620,1,25.83333333,0.013912887
CCB,478,1,19.91666667,0.010726387
BAC,337,1,14.04166667,0.007562327
CCD,455,1,18.95833333,0.010210264
ACDD,148,1,6.166666667,0.00332293
BBBA,378,1,15.75,0.008486944
BBAC,155,1,6.458333333,0.003480096
BBAA,329,1,13.70833333,0.007386785
DDAD,216,1,9,0.004849682
DDCB,81,1,3.375,0.001818631
CBBB,257,1,10.70833333,0.005770224
AAAC,234,1,9.75,0.005253822
AAAA,970,1,40.41666667,0.021778666
AADD,308,1,12.83333333,0.006915288
CCBB,205,1,8.541666667,0.004602708
BAAA,277,1,11.54166667,0.006219269
CDA,324,0.958333333,13.5,0.007270606
CDC,375,0.958333333,15.625,0.008415053
BCB,207,0.958333333,8.625,0.004645109
AAE,286,0.958333333,11.91666667,0.00641788
AAF,143,0.958333333,5.958333333,0.00320894
BDD,292,0.958333333,12.16666667,0.006552521
FAA,151,0.958333333,6.291666667,0.003388461
EAA,319,0.958333333,13.29166667,0.007158405
EBB,205,0.958333333,8.541666667,0.004600229
FFA,115,0.958333333,4.791666667,0.002580616
DBB,363,0.958333333,15.125,0.008145771
CAC,413,0.958333333,17.20833333,0.009267778
DCC,386,0.958333333,16.08333333,0.008661894
CBA,289,0.958333333,12.04166667,0.006485201
CCA,375,0.958333333,15.625,0.008415053
CCC,667,0.958333333,27.79166667,0.014967574
BAB,207,0.958333333,8.625,0.004645109
BAD,239,0.958333333,9.958333333,0.005363194
ACCD,113,0.958333333,4.708333333,0.002537102
BBBB,919,0.958333333,38.29166667,0.020633602
DDAC,104,0.958333333,4.333333333,0.002335032
BBCD,114,0.958333333,4.75,0.002559555
DDCA,115,0.958333333,4.791666667,0.002582007
CAAA,171,0.958333333,7.125,0.003839332
CABB,117,0.958333333,4.875,0.002626911
ADDD,342,0.958333333,14.25,0.007678664
ADDA,227,0.958333333,9.458333333,0.005096657
DAAC,89,0.958333333,3.708333333,0.001998249
AABA,115,0.958333333,4.791666667,0.002582007
AAAD,270,0.958333333,11.25,0.006062103
AABB,312,0.958333333,13,0.007005097
AADA,234,0.958333333,9.75,0.005253822
AACD,126,0.958333333,5.25,0.002828981
CCDD,184,0.958333333,7.666666667,0.004131211
ABBA,183,0.958333333,7.625,0.004108759
ABBB,354,0.958333333,14.75,0.00794809
CDDA,122,0.958333333,5.083333333,0.002739172
DCBB,93,0.958333333,3.875,0.002088058
BBAAA,162,0.958333333,6.75,0.003639223
BAAAA,150,0.958333333,6.25,0.003369651
BBD,340,0.916666667,14.16666667,0.007629648
CEA,149,0.916666667,6.208333333,0.003343581
CFA,127,0.916666667,5.291666667,0.002849898
ABC,204,0.916666667,8.5,0.004577789
ABD,69,0.916666667,2.875,0.00154837
AFA,111,0.916666667,4.625,0.002490856
HHH,716,0.916666667,29.83333333,0.016067141
DAE,182,0.916666667,7.583333333,0.004084106
DCE,153,0.916666667,6.375,0.003433342
DDF,88,0.916666667,3.666666667,0.001974732
BBAD,115,0.916666667,4.791666667,0.002582007
BBCA,131,0.916666667,5.458333333,0.002941243
BBBC,269,0.916666667,11.20833333,0.006039651
DDDC,167,0.916666667,6.958333333,0.003749523
DDDA,343,0.916666667,14.29166667,0.007701116
DDCC,151,0.916666667,6.291666667,0.003390287
DDDD,853,0.916666667,35.54166667,0.019151755
CADD,98,0.916666667,4.083333333,0.002200319
ADAC,59,0.916666667,2.458333333,0.001324682
ADDC,102,0.916666667,4.25,0.002290128
CBBA,134,0.916666667,5.583333333,0.003008599
DAAA,307,0.916666667,12.79166667,0.006892835
DADD,204,0.916666667,8.5,0.004580256
AEAA,94,0.916666667,3.916666667,0.00211051
AAAB,244,0.916666667,10.16666667,0.005478345
CCCC,246,0.916666667,10.25,0.005523249
EAAA,132,0.916666667,5.5,0.002963695
ABBC,111,0.916666667,4.625,0.002492198
CDDD,189,0.916666667,7.875,0.004243472
CDDC,173,0.916666667,7.208333333,0.003884236
BACC,95,0.916666667,3.958333333,0.002132962
BADD,123,0.916666667,5.125,0.002761625
ACBB,136,0.916666667,5.666666667,0.003053504
AABBB,147,0.916666667,6.125,0.003302258
AAAAA,498,0.916666667,20.75,0.01118724
BBBBA,179,0.916666667,7.458333333,0.004021116
AAAAAA,272,0.916666667,11.33333333,0.006113596
BDA,118,0.875,4.916666667,0.002647937
BDC,84,0.875,3.5,0.001884972
ACF,172,0.875,7.166666667,0.003859704
ADB,106,0.875,4.416666667,0.002378655
AEB,136,0.875,5.666666667,0.003051859
FCB,144,0.875,6,0.00323138
EAD,92,0.875,3.833333333,0.002064493
HHA,97,0.875,4.041666667,0.002176694
ECD,128,0.875,5.333333333,0.002872338
FFC,148,0.875,6.166666667,0.003321141
DBA,127,0.875,5.291666667,0.002849898
EDD,238,0.875,9.916666667,0.005340754
CAE,104,0.875,4.333333333,0.002333775
CAF,93,0.875,3.875,0.002086933
DDB,314,0.875,13.08333333,0.007046204
CBD,115,0.875,4.791666667,0.002580616
CBC,357,0.875,14.875,0.00801113
BBCB,88,0.875,3.666666667,0.001975796
BBBD,161,0.875,6.708333333,0.003614809
DDAA,316,0.875,13.16666667,0.007094906
BBCC,200,0.875,8.333333333,0.004490447
HHHH,528,0.875,22,0.011854779
ADAA,235,0.875,9.791666667,0.005276275
ADBB,57,0.875,2.375,0.001279777
BCBB,88,0.875,3.666666667,0.001975796
CBBC,151,0.875,6.291666667,0.003390287
DABB,110,0.875,4.583333333,0.002469746
DABA,56,0.875,2.333333333,0.001257325
DACB,50,0.875,2.083333333,0.001122612
BDDA,76,0.875,3.166666667,0.00170637
AAAE,127,0.875,5.291666667,0.002851434
AACC,153,0.875,6.375,0.003435192
CCAA,101,0.875,4.208333333,0.002267676
CCCB,129,0.875,5.375,0.002896338
CCDC,120,0.875,5,0.002694268
CCDA,81,0.875,3.375,0.001818631
CCCD,103,0.875,4.291666667,0.00231258
DBBB,174,0.875,7.25,0.003906689
DBBA,76,0.875,3.166666667,0.00170637
BABB,108,0.875,4.5,0.002424841
BAAB,107,0.875,4.458333333,0.002402389
BAAC,75,0.875,3.125,0.001683917
DCAA,92,0.875,3.833333333,0.002065605
BACD,68,0.875,2.833333333,0.001526752
DCCC,103,0.875,4.291666667,0.00231258
DCCA,63,0.875,2.625,0.001414491
ACAA,110,0.875,4.583333333,0.002469746
AAABB,149,0.875,6.208333333,0.003347186
AAADD,129,0.875,5.375,0.0028979
BBBBB,479,0.875,19.95833333,0.010760418
BBBAC,65,0.875,2.708333333,0.001460182
CBBBA,61,0.875,2.541666667,0.001370325
ABBAA,68,0.875,2.833333333,0.001527575
ABBBA,78,0.875,3.25,0.001752218
BBAAAA,86,0.875,3.583333333,0.001932975
CDB,127,0.833333333,5.291666667,0.002849898
BBE,191,0.833333333,7.958333333,0.004286067
DFF,76,0.833333333,3.166666667,0.001705451
BDB,80,0.833333333,3.333333333,0.001795211
AEC,185,0.833333333,7.708333333,0.004151426
AED,128,0.833333333,5.333333333,0.002872338
AHH,78,0.833333333,3.25,0.001750331
FAC,93,0.833333333,3.875,0.002086933
FCA,127,0.833333333,5.291666667,0.002849898
FCD,106,0.833333333,4.416666667,0.002378655
EAC,129,0.833333333,5.375,0.002894778
ECB,119,0.833333333,4.958333333,0.002670377
DAF,70,0.833333333,2.916666667,0.00157081
DBC,84,0.833333333,3.5,0.001884972
DDE,276,0.833333333,11.5,0.006193479
DEA,156,0.833333333,6.5,0.003500662
DEE,119,0.833333333,4.958333333,0.002670377
BAE,145,0.833333333,6.041666667,0.00325382
CCF,189,0.833333333,7.875,0.004241187
BAF,107,0.833333333,4.458333333,0.002401095
ACCA,95,0.833333333,3.958333333,0.002132962
ACCB,101,0.833333333,4.208333333,0.002267676
BBAB,115,0.833333333,4.791666667,0.002582007
DDAE,85,0.833333333,3.541666667,0.00190844
DDAB,112,0.833333333,4.666666667,0.00251465
FFAA,37,0.833333333,1.541666667,8.31E-04
CACA,88,0.833333333,3.666666667,0.001975796
ADCC,76,0.833333333,3.166666667,0.00170637
BCAA,78,0.833333333,3.25,0.001751274
BCCD,96,0.833333333,4,0.002155414
BCCC,97,0.833333333,4.041666667,0.002177867
CBAA,79,0.833333333,3.291666667,0.001773726
CBCC,93,0.833333333,3.875,0.002088058
CBDD,49,0.833333333,2.041666667,0.001100159
DAAB,57,0.833333333,2.375,0.001279777
DAAD,216,0.833333333,9,0.004849682
DACD,56,0.833333333,2.333333333,0.001257325
DACC,69,0.833333333,2.875,0.001549204
DACA,63,0.833333333,2.625,0.001414491
DAEA,50,0.833333333,2.083333333,0.001122612
BDBB,47,0.833333333,1.958333333,0.001055255
AACA,117,0.833333333,4.875,0.002626911
CCBC,105,0.833333333,4.375,0.002357484
ABAA,109,0.833333333,4.541666667,0.002447293
CDAB,44,0.833333333,1.833333333,9.88E-04
DCAC,65,0.833333333,2.708333333,0.001459395
DCCD,73,0.833333333,3.041666667,0.001639013
FAAA,60,0.833333333,2.5,0.001347134
ACAD,53,0.833333333,2.208333333,0.001189968
AAAAB,112,0.833333333,4.666666667,0.002516006
AAACC,67,0.833333333,2.791666667,0.001505111
DAAAA,150,0.833333333,6.25,0.003369651
BBBAA,153,0.833333333,6.375,0.003437044
CDDDD,86,0.833333333,3.583333333,0.001931933
CCBBB,91,0.833333333,3.791666667,0.002044255
DDCBB,35,0.833333333,1.458333333,7.86E-04
ADDDA,84,0.833333333,3.5,0.001887004
DDDDC,71,0.833333333,2.958333333,0.001594968
ABBBB,160,0.833333333,6.666666667,0.003594294
DBBBB,96,0.833333333,4,0.002156576
BAAAAA,82,0.833333333,3.416666667,0.001843069
AAAAAAA,146,0.833333333,6.083333333,0.003283334
CDE,84,0.791666667,3.5,0.001884972
BBH,57,0.791666667,2.375,0.001279088
CEE,129,0.791666667,5.375,0.002894778
CFF,106,0.791666667,4.416666667,0.002378655
ACE,98,0.791666667,4.083333333,0.002199134
AEE,163,0.791666667,6.791666667,0.003657743
EAB,130,0.791666667,5.416666667,0.002917218
EBA,77,0.791666667,3.208333333,0.001727891
ECA,111,0.791666667,4.625,0.002490856
FFF,87,0.791666667,3.625,0.001952292
EEA,135,0.791666667,5.625,0.003029419
EEC,149,0.791666667,6.208333333,0.003343581
EEB,96,0.791666667,4,0.002154254
DCF,69,0.791666667,2.875,0.00154837
ACDA,91,0.791666667,3.791666667,0.002043153
ACCC,129,0.791666667,5.375,0.002896338
ACDC,83,0.791666667,3.458333333,0.001863535
DDBB,177,0.791666667,7.375,0.003974045
DDCD,68,0.791666667,2.833333333,0.001526752
